Date,Open,High,Low,Close,Volume,Adj Close
2015-10-20,142.490005,142.880005,140.270004,140.639999,15928800,134.218534
2015-10-19,149.850006,149.970001,148.380005,149.220001,7954700,142.406782
2015-10-16,150.449997,151.199997,149.259995,150.389999,3483700,143.523359
2015-10-15,150.910004,151.240005,148.580002,150.089996,3476200,143.237054
2015-10-14,149.600006,150.649994,149.020004,150.009995,3353000,143.160705
2015-10-13,150.779999,150.779999,149.179993,149.619995,3915700,142.788513
2015-10-12,152.399994,152.580002,150.850006,151.139999,3227600,144.239115
2015-10-09,152.460007,153.149994,151.270004,152.389999,3531100,145.432042
2015-10-08,149.690002,153.020004,149.289993,152.279999,4794400,145.327064
2015-10-07,150.039993,150.729996,148.860001,150.089996,2980800,143.237054
2015-10-06,149.059998,150.149994,148.490005,148.779999,3018100,141.98687
2015-10-05,145.820007,149.889999,145.820007,149.039993,5131800,142.234993
2015-10-02,141.050003,144.589996,140.559998,144.580002,3054400,137.97864
2015-10-01,145.309998,145.669998,141.589996,143.589996,3880900,137.033837
2015-09-30,143.690002,145.710007,143.660004,144.970001,3946200,138.350832
2015-09-29,141.990005,142.660004,141.149994,142.470001,4763500,135.96498
2015-09-28,144.419998,145.380005,142.470001,142.520004,4317300,136.0127
2015-09-25,145.550003,146.270004,144.529999,145.419998,3474400,138.780283
2015-09-24,142.600006,145.070007,141.949997,144.410004,3280300,137.816404
2015-09-23,144.210007,144.570007,142.75,143.660004,2674200,137.100648
2015-09-22,144.619995,145.059998,143.770004,144.429993,3564100,137.83548
2015-09-21,145.389999,146.979996,144.919998,146.479996,3825000,139.791882
2015-09-18,146.050003,146.389999,143.979996,144.509995,7975800,137.911829
2015-09-17,148.100006,149.679993,147.300003,148.139999,4003000,141.376092
2015-09-16,147.839996,148.889999,147.539993,148.410004,2799200,141.633768
2015-09-15,146.600006,147.929993,145.759995,147.529999,2717100,140.793943
2015-09-14,147.369995,147.369995,145.410004,145.649994,3226700,138.999777
2015-09-11,145.910004,147.50,145.669998,147.369995,3115100,140.641245
2015-09-10,145.850006,147.160004,144.509995,146.199997,3461700,139.524668
2015-09-09,148.740005,149.039993,144.850006,145.050003,3407800,138.427181
2015-09-08,145.860001,147.339996,145.660004,147.229996,3933300,140.507638
2015-09-04,144.570007,145.399994,143.320007,143.699997,4201100,137.138815
2015-09-03,146.050003,148.029999,145.770004,146.779999,3603500,140.078187
2015-09-02,144.740005,145.080002,143.179993,145.050003,4252000,138.427181
2015-09-01,144.910004,144.979996,141.850006,142.679993,5272000,136.165383
2015-08-31,147.380005,148.399994,146.259995,147.889999,4093100,141.137507
2015-08-28,147.75,148.199997,147.179993,147.979996,4076300,141.223394
2015-08-27,148.50,148.970001,145.660004,148.539993,4976600,141.757823
2015-08-26,144.089996,146.979996,142.139999,146.699997,6221800,140.001838
2015-08-25,146.940002,147.110001,140.619995,140.960007,7073200,134.52393
2015-08-24,143.470001,147.759995,143.00,143.470001,10189700,136.919321
2015-08-21,151.50,153.190002,148.699997,148.850006,7362100,142.053681
2015-08-20,152.740005,153.910004,152.50,152.660004,4011500,145.689718
2015-08-19,155.149994,155.669998,153.410004,153.940002,4177100,146.911273
2015-08-18,155.509995,156.520004,155.25,156.009995,2018300,148.886752
2015-08-17,155.199997,156.690002,154.699997,156.309998,2249600,149.173057
2015-08-14,155.00,156.210007,154.580002,155.75,3226400,148.638628
2015-08-13,156.059998,156.089996,154.320007,155.070007,2533400,147.989683
2015-08-12,154.259995,156.520004,153.949997,156.160004,3560300,149.029912
2015-08-11,155.960007,155.990005,154.860001,155.509995,3167100,148.409581
2015-08-10,156.770004,157.470001,156.119995,156.75,4613400,149.59297
2015-08-07,155.889999,156.25,154.339996,155.119995,3794900,148.037389
2015-08-06,157.130005,157.539993,156.179993,156.320007,3004800,149.18261
2015-08-05,159.100006,159.539993,157.479996,157.899994,3472800,149.449813
2015-08-04,158.399994,158.820007,156.869995,157.600006,5260600,149.165879
2015-08-03,161.699997,161.850006,157.899994,158.710007,4615700,150.216477
2015-07-31,161.399994,162.059998,160.630005,161.990005,3580200,153.320943
2015-07-30,160.50,161.399994,159.75,160.960007,1994700,152.346066
2015-07-29,160.00,161.50,159.389999,161.089996,3378400,152.469099
2015-07-28,159.910004,160.190002,158.50,160.050003,2721000,151.484762
2015-07-27,159.00,160.179993,158.600006,159.070007,3706200,150.557212
2015-07-24,161.289993,161.929993,159.410004,159.75,3778200,151.200814
2015-07-23,160.270004,162.75,159.830002,161.729996,5034200,153.074848
2015-07-22,162.729996,163.070007,159.699997,160.350006,7181800,151.76871
2015-07-21,164.339996,166.350006,162.020004,163.070007,13752300,154.343148
2015-07-20,172.789993,173.779999,172.139999,173.220001,7377800,163.949954
2015-07-17,170.330002,172.520004,170.100006,172.509995,4356400,163.277944
2015-07-16,169.470001,171.089996,169.160004,171.00,3529900,161.848759
2015-07-15,168.479996,169.270004,168.00,168.529999,1998000,159.510942
2015-07-14,169.429993,169.539993,168.240005,168.610001,3025300,159.586663
2015-07-13,167.929993,169.889999,167.520004,169.380005,4229000,160.315459
2015-07-10,165.660004,167.399994,165.520004,166.949997,4538300,158.015496
2015-07-09,165.339996,165.509995,163.699997,163.850006,4138500,155.081404
2015-07-08,164.00,164.940002,162.679993,163.160004,2776300,154.428328
2015-07-07,164.940002,165.350006,162.229996,165.00,3549900,156.169855
2015-07-06,163.830002,165.229996,163.520004,164.729996,3079800,155.9143
2015-07-02,165.050003,165.320007,164.419998,165.089996,2852700,156.255035
2015-07-01,163.970001,165.610001,163.600006,164.490005,3214500,155.687153
2015-06-30,163.990005,164.00,162.119995,162.660004,3597300,153.955086
2015-06-29,163.919998,165.350006,162.889999,162.970001,3314700,154.248494
2015-06-26,166.229996,166.809998,165.229996,165.460007,8946000,156.605244
2015-06-25,167.800003,168.130005,166.080002,166.080002,2408900,157.192059
2015-06-24,168.710007,168.839996,166.830002,166.970001,3548100,158.03443
2015-06-23,168.380005,169.970001,167.570007,168.619995,3701600,159.596122
2015-06-22,167.649994,168.339996,167.199997,167.729996,2335800,158.753752
2015-06-19,167.619995,168.419998,166.770004,166.990005,7074000,158.053363
2015-06-18,167.050003,168.720001,167.050003,168.25,3330900,159.245928
2015-06-17,167.00,167.850006,166.100006,167.169998,2863000,158.223723
2015-06-16,166.330002,167.399994,165.910004,166.839996,3249800,157.911382
2015-06-15,166.990005,166.990005,164.25,166.259995,4245700,157.36242
2015-06-12,168.229996,168.300003,166.690002,166.990005,3065100,158.053363
2015-06-11,169.259995,170.440002,168.539993,168.779999,3464000,159.747563
2015-06-10,166.490005,169.389999,166.059998,168.919998,4680500,159.88007
2015-06-09,165.339996,166.020004,163.369995,165.679993,3395900,156.813457
2015-06-08,167.169998,167.279999,165.020004,165.339996,3758700,156.491656
2015-06-05,168.25,168.910004,167.199997,167.399994,3100500,158.441411
2015-06-04,169.529999,170.600006,167.929993,168.380005,3079300,159.368975
2015-06-03,170.50,171.559998,169.630005,169.919998,2128200,160.826554
2015-06-02,169.660004,170.449997,168.429993,169.649994,2571400,160.571
2015-06-01,170.210007,171.039993,169.029999,170.179993,2985500,161.072635
2015-05-29,171.350006,171.350006,169.649994,169.649994,4092000,160.571
2015-05-28,171.449997,171.839996,170.660004,171.710007,1731400,162.520769
2015-05-27,171.160004,172.479996,170.490005,172.00,2764400,162.795243
2015-05-26,172.110001,172.119995,169.130005,170.130005,3854200,161.025322
2015-05-22,173.039993,173.389999,172.190002,172.220001,2849700,163.00347
2015-05-21,173.320007,174.139999,173.039993,173.339996,2295600,164.063528
2015-05-20,173.330002,174.440002,172.460007,173.759995,2300300,164.461049
2015-05-19,172.970001,173.75,171.929993,173.479996,2523000,164.196035
2015-05-18,173.440002,173.490005,172.300003,173.059998,1970600,163.798513
2015-05-15,173.910004,174.410004,172.600006,173.259995,2916600,163.987807
2015-05-14,173.50,174.399994,173.220001,174.050003,2439100,164.735538
2015-05-13,171.240005,172.740005,170.75,172.279999,2457500,163.060257
2015-05-12,170.550003,171.490005,168.839996,170.550003,2962400,161.422844
2015-05-11,172.649994,172.990005,170.860001,171.119995,2661000,161.962332
2015-05-08,172.940002,173.330002,172.240005,172.679993,3092600,163.438845
2015-05-07,169.630005,171.979996,169.039993,170.990005,2472000,161.839299
2015-05-06,172.899994,174.050003,168.860001,170.050003,3612600,160.949602
2015-05-05,173.509995,174.229996,171.960007,173.080002,3593600,162.587014
2015-05-04,174.470001,176.300003,173.699997,173.970001,4028000,163.423057
2015-05-01,173.199997,174.00,172.419998,173.669998,3312100,163.141241
2015-04-30,173.770004,174.279999,170.300003,171.289993,5062900,160.905524
2015-04-29,173.399994,175.130005,172.800003,174.399994,4518400,163.826981
2015-04-28,170.830002,174.690002,170.020004,173.919998,5816700,163.376085
