Date,Open,High,Low,Close,Volume,Adj Close
2016-12-30,87.57,88.099998,87.199997,87.809998,7185500,87.809998
2016-12-29,87.82,88.199997,87.160004,87.330002,5431700,87.330002
2016-12-28,88.300003,88.75,87.220001,87.370003,6397700,87.370003
2016-12-27,86.720001,87.940002,86.709999,87.540001,5206100,87.540001
2016-12-23,86.620003,87.68,86.620003,86.790001,6344000,86.790001
2016-12-22,87.889999,88.260002,86.010002,86.800003,14187600,86.800003
2016-12-21,89.959999,90.43,89.25,89.25,8989700,89.25
2016-12-20,89.190002,90.309998,88.940002,89.839996,8389200,89.839996
2016-12-19,88.610001,89.82,88.410004,88.93,10172500,88.93
2016-12-16,89.00,90.099998,88.559998,88.669998,11274100,88.669998
2016-12-15,90.00,90.599998,88.739998,88.849998,19016500,88.849998
2016-12-14,91.830002,92.260002,90.830002,91.190002,9132400,91.190002
2016-12-13,92.800003,93.730003,91.870003,92.160004,10435300,92.160004
2016-12-12,92.050003,92.889999,91.699997,92.470001,8984500,92.470001
2016-12-09,92.510002,93.639999,92.279999,93.279999,9152900,93.279999
2016-12-08,91.800003,93.080002,91.029999,92.309998,10893200,92.309998
2016-12-07,90.519997,91.650002,89.50,91.07,13171100,91.07
2016-12-06,91.559998,91.93,89.959999,90.400002,7719700,90.400002
2016-12-05,90.050003,91.400002,89.57,90.989998,8855700,90.989998
2016-12-02,90.379997,91.739998,89.949997,90.480003,11298800,90.480003
2016-12-01,94.00,94.055,89.18,89.860001,22737600,89.860001
2016-11-30,95.279999,95.480003,93.300003,94.019997,11260600,94.019997
2016-11-29,93.669998,96.055,93.389999,94.989998,14112700,94.989998
2016-11-28,93.019997,95.740997,93.00,93.760002,14284600,93.760002
2016-11-25,93.550003,93.75,92.769997,93.010002,4868500,93.010002
2016-11-23,92.529999,93.400002,91.449997,93.029999,11721700,93.029999
2016-11-22,94.239998,94.419998,93.160004,93.209999,10394600,93.209999
2016-11-21,94.050003,94.660004,93.00,93.410004,8746300,93.410004
2016-11-18,94.849998,95.300003,92.669998,93.389999,9713100,93.389999
2016-11-17,94.709999,94.980003,93.639999,94.07,10360600,94.07
2016-11-16,91.389999,93.68,91.330002,92.860001,13024500,92.860001
2016-11-15,91.00,93.489998,90.75,91.00,16167300,91.00
2016-11-14,92.450996,92.540001,87.879997,89.769997,27301500,89.769997
2016-11-11,93.860001,94.089996,91.099998,92.989998,23664300,92.989998
2016-11-10,98.339996,98.50,92.220001,94.339996,27339900,94.339996
2016-11-09,97.379997,98.580002,95.800003,96.669998,20886500,96.669998
2016-11-08,99.389999,99.989998,98.360001,99.849998,7956300,99.849998
2016-11-07,100.07,100.620003,99.160004,99.349998,11044000,99.349998
2016-11-04,96.900002,98.790001,96.669998,97.57,9020600,97.57
2016-11-03,98.040001,99.300003,96.459999,97.75,15573100,97.75
2016-11-02,103.849998,104.099998,97.300003,98.510002,36939900,98.510002
2016-11-01,100.43,101.239998,99.209999,101.150002,21175700,101.150002
2016-10-31,102.650002,103.209999,101.419998,101.690002,14199500,101.690002
2016-10-28,102.349998,103.050003,101.550003,101.93,8325600,101.93
2016-10-27,103.379997,104.110001,101.849998,102.379997,8748400,102.379997
2016-10-26,103.68,104.00,102.699997,102.779999,7561700,102.779999
2016-10-25,104.860001,105.199997,104.019997,104.220001,8985700,104.220001
2016-10-24,104.980003,105.300003,103.550003,104.50,10898800,104.50
2016-10-21,103.699997,103.940002,102.75,103.940002,8073100,103.940002
2016-10-20,104.199997,104.739998,103.57,103.849998,7109800,103.849998
2016-10-19,104.330002,104.800003,103.650002,103.93,8918900,103.93
2016-10-18,104.470001,104.989998,103.309998,103.339996,11107200,103.339996
2016-10-17,101.50,103.470001,101.269997,102.839996,10351700,102.839996
2016-10-14,104.269997,104.699997,101.029999,101.849998,12789500,101.849998
2016-10-13,102.059998,102.550003,99.00,102.150002,22390000,102.150002
2016-10-12,105.050003,105.110001,101.82,103.620003,18435000,103.620003
2016-10-11,107.889999,107.970001,104.75,105.230003,14916600,105.230003
2016-10-10,106.790001,109.00,106.559998,108.410004,11516600,108.410004
2016-10-07,106.889999,107.550003,105.559998,106.00,8954400,106.00
2016-10-06,107.300003,107.510002,106.184998,107.080002,9885600,107.080002
2016-10-05,105.870003,107.449997,105.660004,106.959999,13176500,106.959999
2016-10-04,105.93,106.230003,105.050003,105.449997,11068800,105.449997
2016-10-03,105.449997,106.290001,104.980003,105.379997,10849500,105.379997
2016-09-30,106.50,107.099998,105.790001,105.790001,15577500,105.790001
2016-09-29,106.510002,106.690002,104.57,105.550003,30236700,105.550003
2016-09-28,108.440002,109.870003,107.160004,108.75,16371600,108.75
2016-09-27,106.519997,108.489998,106.370003,108.260002,17556700,108.260002
2016-09-26,106.519997,107.059998,105.300003,105.889999,16805300,105.889999
2016-09-23,108.25,108.400002,106.709999,107.709999,23083000,107.709999
2016-09-22,107.57,109.760002,107.480003,109.360001,35627700,109.360001
2016-09-21,102.459999,106.190002,102.209999,106.00,22997100,106.00
2016-09-20,102.940002,103.730003,100.93,101.360001,12863800,101.360001
2016-09-19,105.160004,105.50,102.195,103.029999,15234600,103.029999
2016-09-16,104.00,105.389999,103.860001,104.639999,20363500,104.639999
2016-09-15,102.620003,104.480003,102.529999,104.449997,20795900,104.449997
2016-09-14,100.080002,102.589996,100.019997,102.400002,19604700,102.400002
2016-09-13,100.379997,101.489998,98.839996,100.279999,20004900,100.279999
2016-09-12,97.379997,101.379997,97.00,100.800003,17318200,100.800003
2016-09-09,101.800003,102.209999,99.050003,99.620003,21250400,99.620003
2016-09-08,101.93,103.779999,101.629997,102.57,15475500,102.57
2016-09-07,103.839996,104.00,102.260002,102.32,15758800,102.32
2016-09-06,100.449997,104.300003,100.449997,103.779999,32803800,103.779999
2016-09-02,97.970001,99.665001,97.970001,99.25,17482600,99.25
2016-09-01,97.300003,98.00,97.010002,97.419998,13387400,97.419998
2016-08-31,96.139999,97.199997,96.010002,97.190002,28617000,97.190002
2016-08-30,95.349998,96.68,95.169998,96.00,13994200,96.00
2016-08-29,94.599998,95.160004,94.209999,94.879997,8818300,94.879997
2016-08-26,94.150002,95.449997,94.080002,95.059998,14133900,95.059998
2016-08-25,93.75,94.690002,93.120003,93.940002,13039900,93.940002
2016-08-24,95.68,96.300003,93.559998,93.879997,12726600,93.879997
2016-08-23,95.589996,96.480003,95.410004,95.790001,9646800,95.790001
2016-08-22,96.470001,96.629997,94.75,95.650002,16222900,95.650002
2016-08-19,96.910004,97.239998,96.339996,96.860001,14267100,96.860001
2016-08-18,97.25,97.940002,96.620003,97.00,15009000,97.00
2016-08-17,96.169998,97.25,96.050003,97.00,14980900,97.00
2016-08-16,96.150002,97.150002,95.050003,96.660004,27514000,96.660004
2016-08-15,98.279999,98.860001,96.82,97.169998,33813400,97.169998
2016-08-12,92.980003,98.349998,92.910004,98.25,71968300,98.25
2016-08-11,92.139999,92.800003,91.260002,91.769997,54169200,91.769997
2016-08-10,86.010002,87.730003,86.010002,87.330002,28195900,87.330002
2016-08-09,85.050003,85.629997,84.800003,85.239998,15349200,85.239998
2016-08-08,84.989998,85.019997,84.300003,85.00,11528200,85.00
2016-08-05,85.010002,85.080002,84.440002,84.589996,9401700,84.589996
2016-08-04,83.75,84.980003,83.690002,84.75,10731600,84.75
2016-08-03,83.300003,83.839996,83.169998,83.669998,5365800,83.669998
2016-08-02,84.339996,84.339996,82.910004,83.800003,7691600,83.800003
2016-08-01,82.790001,84.800003,82.589996,84.339996,13401200,84.339996
2016-07-29,83.370003,83.419998,81.945,82.480003,8709300,82.480003
2016-07-28,83.459999,83.489998,82.120003,83.120003,7476500,83.120003
2016-07-27,83.599998,83.639999,83.00,83.099998,11629000,83.099998
2016-07-26,82.860001,83.629997,82.629997,83.589996,7714700,83.589996
2016-07-25,84.470001,84.790001,82.610001,83.190002,13185900,83.190002
2016-07-22,84.00,84.50,83.809998,84.489998,5988400,84.489998
2016-07-21,84.709999,85.00,83.660004,84.18,10163500,84.18
2016-07-20,83.269997,84.699997,83.230003,84.419998,13991000,84.419998
2016-07-19,82.480003,83.690002,82.050003,82.769997,9799400,82.769997
2016-07-18,80.599998,82.790001,80.599998,82.650002,12113600,82.650002
2016-07-15,81.779999,82.489998,80.964996,81.25,8919900,81.25
2016-07-14,81.18,82.239998,80.860001,81.739998,9361500,81.739998
2016-07-13,81.830002,81.879997,80.370003,80.57,10739200,80.57
2016-07-12,81.790001,82.879997,81.510002,81.739998,15294100,81.739998
2016-07-11,79.330002,81.900002,79.239998,81.459999,17417500,81.459999
2016-07-08,78.440002,79.349998,77.800003,78.989998,14029100,78.989998
2016-07-07,79.00,79.489998,78.709999,79.349998,6819200,79.349998
2016-07-06,78.470001,78.82,77.68,78.639999,7737600,78.639999
2016-07-05,79.040001,79.550003,78.370003,78.970001,6845200,78.970001
2016-07-01,79.120003,80.050003,79.120003,79.650002,7271300,79.650002
2016-06-30,78.309998,79.760002,78.279999,79.529999,12485300,79.529999
2016-06-29,76.980003,78.480003,76.900002,78.040001,11460000,78.040001
2016-06-28,75.50,76.599998,75.50,76.279999,11266200,76.279999
2016-06-27,75.800003,75.970001,73.300003,74.230003,15131300,74.230003
2016-06-24,76.830002,77.50,75.43,76.290001,18224800,76.290001
2016-06-23,79.160004,79.459999,78.550003,79.139999,8279500,79.139999
2016-06-22,79.040001,79.120003,78.209999,78.730003,8170900,78.730003
2016-06-21,78.75,79.080002,78.400002,78.620003,8881800,78.620003
2016-06-20,77.900002,78.790001,77.839996,78.150002,9625600,78.150002
2016-06-17,78.449997,78.449997,76.480003,77.00,15582600,77.00
2016-06-16,77.839996,78.400002,76.199997,78.269997,13570700,78.269997
2016-06-15,78.309998,78.768997,77.510002,78.389999,14734800,78.389999
2016-06-14,76.889999,78.449997,76.75,77.769997,22358900,77.769997
2016-06-13,75.25,76.455002,74.849998,75.449997,11300800,75.449997
2016-06-10,76.43,77.050003,75.760002,75.919998,10421100,75.919998
2016-06-09,77.389999,78.07,76.779999,77.559998,8994400,77.559998
2016-06-08,78.00,78.529999,77.375,77.639999,11614100,77.639999
2016-06-07,78.190002,78.370003,77.32,77.839996,12878000,77.839996
2016-06-06,77.110001,78.330002,76.699997,78.059998,19166100,78.059998
2016-06-03,77.239998,77.800003,75.709999,76.620003,23685700,76.620003
2016-06-02,76.650002,77.75,76.559998,77.300003,45379500,77.300003
2016-06-01,82.00,82.00,76.550003,76.690002,62531500,76.690002
2016-05-31,81.00,82.029999,80.199997,82.00,78861400,82.00
2016-05-27,78.489998,81.00,78.389999,80.970001,24489300,80.970001
2016-05-26,75.589996,78.864998,75.589996,78.349998,26968600,78.349998
2016-05-25,78.529999,79.199997,74.120003,75.589996,49606600,75.589996
2016-05-24,79.169998,81.309998,79.07,81.120003,16707700,81.120003
2016-05-23,78.949997,79.50,78.599998,79.00,7187500,79.00
2016-05-20,78.32,79.449997,78.32,78.790001,11043900,78.790001
2016-05-19,78.650002,79.260002,77.599998,78.32,8317500,78.32
2016-05-18,78.709999,80.00,78.470001,79.029999,9085800,79.029999
2016-05-17,79.830002,80.199997,79.309998,79.349998,10970700,79.349998
2016-05-16,77.860001,79.93,77.589996,79.290001,11661000,79.290001
2016-05-13,78.824997,79.160004,76.970001,77.160004,10078000,77.160004
2016-05-12,80.010002,80.449997,78.32,79.160004,8791400,79.160004
2016-05-11,79.43,80.485001,79.410004,79.800003,11072500,79.800003
2016-05-10,79.790001,79.980003,79.150002,79.720001,9319700,79.720001
2016-05-09,78.940002,79.980003,78.889999,79.410004,11795800,79.410004
2016-05-06,78.349998,79.720001,78.25,79.199997,12617700,79.199997
2016-05-05,79.519997,79.940002,78.099998,78.830002,27950900,78.830002
2016-05-04,75.639999,75.910004,75.010002,75.82,14326600,75.82
2016-05-03,75.959999,76.269997,75.425003,75.910004,8019200,75.910004
2016-05-02,76.889999,77.00,75.940002,76.610001,7718100,76.610001
2016-04-29,76.809998,77.279999,75.660004,76.940002,10124300,76.940002
2016-04-28,77.650002,77.900002,76.089996,76.400002,9959900,76.400002
2016-04-27,78.300003,78.620003,76.57,77.650002,11491900,77.650002
2016-04-26,78.849998,79.559998,77.800003,78.610001,9632700,78.610001
2016-04-25,79.800003,79.839996,78.68,78.839996,9207600,78.839996
2016-04-22,80.120003,81.440002,79.154999,79.889999,8649300,79.889999
2016-04-21,81.080002,81.779999,80.199997,80.779999,8819000,80.779999
2016-04-20,79.00,81.735001,78.989998,81.209999,14911900,81.209999
2016-04-19,79.199997,80.480003,78.470001,79.459999,14742000,79.459999
2016-04-18,78.519997,79.120003,77.709999,79.010002,7745200,79.010002
2016-04-15,79.449997,79.75,78.459999,78.970001,11709100,78.970001
2016-04-14,79.309998,79.858002,78.360001,79.610001,12611500,79.610001
2016-04-13,78.739998,79.720001,78.50,79.639999,14150900,79.639999
2016-04-12,78.00,78.239998,76.870003,77.860001,7115400,77.860001
2016-04-11,78.07,78.588997,77.43,77.709999,7896500,77.709999
2016-04-08,78.269997,78.760002,76.621002,77.470001,8401200,77.470001
2016-04-07,77.599998,78.599998,77.182999,77.610001,10937900,77.610001
2016-04-06,77.300003,79.150002,77.190002,78.68,9071900,78.68
2016-04-05,78.199997,78.300003,76.910004,77.32,9603900,77.32
2016-04-04,78.330002,79.550003,78.32,79.080002,9817300,79.080002
2016-04-01,78.239998,79.019997,78.199997,78.730003,9262200,78.730003
2016-03-31,78.50,79.839996,78.410004,79.029999,11318500,79.029999
2016-03-30,79.010002,79.550003,78.540001,78.860001,10696000,78.860001
2016-03-29,75.599998,78.239998,75.57,78.080002,12535000,78.080002
